title,url,descriptions
Baburam Bhattarai,https://en.wikipedia.org/wiki/Baburam_Bhattarai,"Baburam Bhattarai (:  ; born 18 June 1954) also known by his nom de guerre  is a Nepalese politician and former  who presently serves as leader of the . 
Bhattarai was a long-time leading member and deputy chairman of the  prior to founding a new party . He subsequently embraced .
In 1996 the Maoists started the  which had a huge impact on the political system in Nepal. The decade-long civil war in which more than 17000 Nepalese died had a major role in the transformation of Nepal from a monarchy into a republic. Bhattarai was  from  as a Maoist candidate in 2008 and became Minister of Finance in the cabinet formed after the election.
Bhattarai became Prime Minister in 2011. As a way out of the political deadlock since the dissolution of the first  in May 2012 he was replaced by Chief Justice  as head of an interim government that was to hold . He was a senior Standing Committee member and vice chairperson of the Maoist party until his resignation from his post and all party responsibilities on 26 September 2015. He was until recently the Coordinator of the . As of 2019 he was the Chairman of the Federal Council of the newly formed  a party formed by the merger of the  and the . Later  merged with  to form .
On 4 February 1996 Bhattarai gave the government led by  Prime Minister  a  threatening civil war if they were not met. The demands related to ""nationalism democracy and livelihood"" and included such line items as the ""domination of foreign capital in Nepali industries business and finance should be stopped"" and ""discriminatory treaties including the 1950 Nepal-India Treaty should be abrogated"" (referring here to the ) and ""land under the control of the feudal system should be confiscated and distributed to the landless and the homeless."" They started armed movement before the deadline to fulfill the demand given by themselves to the government. After that and until 26 April 2006 the guerrilla leader  directed the military efforts of the CPN (M) towards establishing areas of control particularly in the mountainous regions and western Nepal.
The 40 demands were whittled down to 24 in subsequent political negotiations.
In late 2004 or early 2005 the relations between Prachanda and Bhattarai cooled down. This was reportedly due to disagreement on power sharing inside the party.   Bhattarai was unhappy with the consolidation of power under Prachanda. At one point Prachanda expelled Bhattarai from the party though he was later reinstated. They later reconciled at least some of their differences.
On 22 November 2005 Prachanda and the  released a ""twelve-point agreement"" that expressed areas of agreement between the CPN(M) and the parties that won a large majority in the last parliamentary election in 1999. Among other points this document stated that a dictatorial monarchy of King Gyanendra is the chief impediment to progress in Nepal. It claimed further that the Maoists are committed to human rights and press freedoms and a multi-party system of government. It pledged self-criticism and the intention of the Maoists and the Seven Parties to not repeat past mistakes.
Several ceasefires have occurred over the course of the Nepalese civil war. Most recently on 26 April 2006 Prachanda announced a ceasefire with a stated duration of 90 days. The move followed weeks of massive protests—the — in  and elsewhere that had forced  to give up the personal dictatorship he had established on 1 February 2005 and restore the parliament that was dissolved in May 2002.
After that a new government was established by the Seven-Party Alliance. The Parliament and the new government supported the ceasefire and started negotiations with the Maoists on the basis of the twelve-point agreement. The two sides agreed that a new constituent assembly will be elected to write a new constitution and decide the fate of the monarchy. The Maoists wanted this process to end with Nepal becoming a republic of Nepal. 
Bhattarai was elected 36th Prime minister of Nepal. Having been elected from UCPN (Maoist). He was elected in support small parties including     and  splinter groups. Bhattarai led the country from 29 August 2011 to 14 March 2013. He did some examplery works during his tenure including the expansion of ring road. 
On 12 July 2016 Baburam Bhattarai announced the establishment of the Naya Shakti Nepal (New Force Nepal) as a new political party under his leadership. On 24 January he had announced to establish a new political force.  The leaders of Major Parties attended the ceremony. Ashok Sharma  and other 33 new members were announced in that ceremony. He took part in a ceremony announcing an alliance with CPN UML and CPN Maoist centre but left the alliance after two weeks as he was not guaranteed an election ticket.
Bhattarai was born in Gorkha Belbas in  VDC. He was born in a low-middle class peasant family. He has three siblings: one elder sister one younger sister and one younger brother. He belongs to  group.
He completed his secondary school education from Amar Jyoti High School in Luintel . He was a classmate of . He went to high school at . After that under the  scholarship he studied  in 1977 from . ""He had been an outstanding student"" says Lieut-Col Bakshi (retd) Principal of the college. It was during this time he became the founding President of All India Nepalese Student's Association. This organization ended up becoming his first step towards building his academic interests outside the field of architecture.
Bhattarai went to the Delhi  for an M.Tech. degree. He is married to  a fellow Maoist leader. They have a daughter Manushi.
He completed his PhD degree from  in 1986. His thesis was published in 2003 as ""The Nature of Underdevelopment and Regional Structure of Nepal - A Marxist Analysis"".
Bhattarai has contributed a number of published works including  (Adroit Publishers Delhi 2003) which is a cursory rewriting of his PhD thesis. Other works include  (Utprerak Publications Kathmandu 1998) and  (in Nepali) (Janadisha Publications 2004). His books and articles have had some impact on Nepalis both at home and abroad though primarily only on those who share his political beliefs. Among his many well read newspaper articles is ""Let’s Give No Legitimacy to the Beneficiaries of the New Kot Massacre"" written in the aftermath of Palace Massacre of 2001. Similarly it is widely believed that he is the principal author of the most successful Election Manifesto brought out by Communist Party of Nepal (Maoists) in March 2008 in preparation of the  Election held in April 2008."
Sharat Singh Bhandari,https://en.wikipedia.org/wiki/Sarad_Singh_Bhandari,Sharat Singh Bhandari (: ) is a  politician and was  of  since 4 June 2021 but was removed from the post by Supreme Court on 22 June 2021 making the tenure of just 18 days and shortest till date.  He also assumed the post of  under . He was elected to the  in the  on behalf of the . He is one of the most time entries as a minister in cabinet of Nepal.
Sharad Singh Bhandari,https://en.wikipedia.org/wiki/Sharad_Singh_Bhandari,Sharad Singh Bhandari is a  Revolutionary  belonging to the . In the  he was elected from the -2 constituency winning 17976 votes.
Naresh Bhandari,https://en.wikipedia.org/wiki/Naresh_Bhandari,Naresh Bhandari (: )  is a  politician belonging to the . In the  he was elected from the -1 constituency winning 21127 votes.
Lila Kumari Bhandari,https://en.wikipedia.org/wiki/Lila_Kumari_Bhandari,Lila Kumari Bhandari (: ) is a  politician belonging to the . In the  she was elected from the -6 constituency winning 14826 votes.
Damodar Bhandari,https://en.wikipedia.org/wiki/Damodar_Bhandari,"Damodar Bhandari (: ) is a nepalese politician and current . He is Chairman of   Committee. He was also member of . He won Baitadi–1 seat in CA assembly 2013 and  from . He was also  2016.
He has been elected to the Member of  and  from . He lost the ."
Hisila Yami,https://en.wikipedia.org/wiki/Hisila_Yami,"Hisila Yami (: ) (born 25 June 1959) also known by her nom de guerre  is a  politician and architect. She is a deputy chairman of  and a former president of the .
Her father  was a Nepalese  author and government deputy minister.
Yami graduated from the  in   in 1982. She completed her M. Arch. from the  UK in 1995.
During the 1990 uprising against the  regime Yami was one of the most high-profile women leaders in the protests. She was also the General Secretary of All India Nepalese Students' Association 1981–1982. She was a lecturer at Institute of Engineering  from 1983 to 1996. In 1995 she became the President of the All Nepal Women's Association (Revolutionary) and served a two-year term. She went underground in 1996 after the inception of the Communist Party of Nepal (Maoist) led People's War. Since 2001 she has been a Central Committee Member of CPN (Maoist) and has worked in departments such as the International Department of the organization.
She made her first public appearance on 18 June 2003 during the then ongoing peace negotiations between the government and the Maoists.
In early 2005 she was along with Bhattarai and  demoted by the party leadership. In July she was reinstated into the Central Committee.
On 1 April 2007 Hisila Yami joined the interim government of Nepal as Minister of Physical Planning and Works. Following a Maoist boycott of the government from September to December 2007 Yami was again sworn in as Minister of Physical Planning on 31 December 2007. Following her victory in the  from Kathmandu constituency no. 7 she became a member of the Constituent Assembly. She joined the CPN (Maoist) led government in September as Minister for Tourism and Civil Aviation.
In 2015 Yami and Bhattarai split from CPN (Maoist). In 2016 they founded . On May 9 2019 Naya Shakti united with  to found . Later Samajbadi Party united with  to form . As for 2020 Yami is part of Janata Samajbadi Party.

Yami is married to fellow Maoist leader . They have a daughter."
Upendra Yadav,https://en.wikipedia.org/wiki/Upendra_Yadav,"Upendra Yadav (: ; born 12 November 1960) is a  who served as the chairman of the  from 2020 until 2023. 
He served as the  under the government of  from 2018 to 2020. He also served as the  in the  from 2008 to 2009 and in the  in 2011. Yadav lost an election  being defeated by  chair  in  with a margin of 18000 votes.
Yadav was born in   to Dhanilal Yadav and Phudani Devi Yadav on 12 November 1960. He grew up in  and completed his  there in 1975. He completed his  in  from Hattisar College in  and his  in  at  in .
Yadav was involved in protests against the  as far back as 1975. He was involved in the  and was arrested in  and was imprisoned for fourth months. He was also arrested in 1985 at Kathmandu and imprisoned for a year for participating in a  organized by . Yadav joined the  in 1991 and contested for the House of Representatives from  in the same year. He gained 8672 votes but finished a distant second. He served as the district leader of  and  district during his time in the party. He resigned from the party in 1997.
He founded the  in the mid-1990s along with  leader  as a non-governmental organization that advocated for . After leaving CPN (UML) Yadav had become an alternate central committee member of . In February 2004 Yadav was arrested in  along with Maoist party members  and . He was released after two months while the others were handed over to Nepalese authorities in 2006.
He was again arrested on 16 January 2007 in Kathmandu along with   and a dozen others after they burned copies of the Interim Constitution of Nepal 2007 after it did not address the issue of  and greater political representation from the  in the parliament and the . Following mass protests and indefinite strikes in the  organized by his party the government agreed to amend the interim constitution and on 12 April 2007 Nepal was turned into a federal republic.
He registered the organization as a political party on 26 April 2007 to contest the constituent assembly elections. He was elected to the  from Sunsari 5 at the . He served as the Minister of Foreign Affairs in a coalition government with the  from August 2008 to May 2009 and again in a coalition government with  in 2011. After  split away from the party to form  Yadav served as the parliamentary party leader of the MJF. He was also a member of the State Affairs Committee of the . He retained his seat in the  from Sunsari 5 at the . He served as the parliamentary party leader of MJF and also served as a member of the Constitutional-Political Dialogue and Consensus Committee.
On 15 June 2015 his party merged with  and Khas Samabesi Party to form the . He served as co-chairman of the new party along with . He contested the  to the  from  and was elected. He was a member of the Education and Health Committee of the . He served as the  in a coalition government with the  from June 2018 to December 2019. His party merged with the  in 2020 to form the . He served as co-chairman of the party with  until Thakur split off to form the . Yadav contested the  to the House of Representatives from  again but lost to  chairman  by a margin of over 18000 votes.
Yadav has been accused of being linked to  and in December 2006 publicly supported the notion of Nepal as a Hindu nation at a program of  in . A month after the incident he was leading  in support of turning Nepal into a  .
He has also been accused of focusing on  instead of the greater . He was criticized by some for supporting  candidate  instead of  candidate .
Yadav had been criticized for the Gaur incident where dozens of  cadres were left dead following violent clashes with cadres of . Yadav was supposed to address a mass meeting of MJFN supporters in   the Madhesh Mukti Morcha of CPN (Maoist) were also holding their rally in the same venue. MJF and Maoist supporters were engaged in clashes during the  and the Gaur incident was seen as retaliation for these clashes.
Once a major activist for Madheshi people Yadav has been criticized for forgetting Madhesh-centric issues as he became more active in national politics.
Yadav is married to Parbati Yadav with whom he has two children a son and a daughter. His son Amarendra Yadav contested the  for the deputy mayor of  but lost."
Renu Kumari Yadav,https://en.wikipedia.org/wiki/Renu_Kumari_Yadav,"Renu Kumari Yadav (: रेणु कुमारी यादव) (born 16 January 1959) is a Nepali politician and member of  on proportional representation.
She most recently served as the Minister for  of Nepal in the ruling coalition government led by Prime Minister and  President . Recently Yadav resigned from the .
Yadav was born on June 19 1963 in Forbesganj India to Rameshwor Prasad and Chintamani Devi Yadav. She belongs to the  community.
Yadav was elected as a  (RPP) candidate to the  in the  from the  constituency. In 2002 she was elected to the central committee of the RPP.
In June 2003 she was named Minister for Women Children and Social Affairs in the -led cabinet appointed by . When the RPP was divided and Thapa broke away and formed the  Yadav joined the new RJP.
In February 2008 she resigned from the parliament and left RJP in support of the .
In April 2008 she won the  seat in the  as a  candidate. In late May 2008 she was included in the central committee of MJF. She was subsequently appointed as Minister of Education and sworn in on August 22 2008."
Ram Baran Yadav,https://en.wikipedia.org/wiki/Ram_Baran_Yadav,"Ram Baran Yadav (: ; born 4 February 1948)  is a  politician and physician who served as the first  from 23 July 2008 to 29 October 2015 following the declaration of republic in 2008. Previously he served as  from 1999 to 2001 and general secretary of the .
Yadav served as Minister of State for Health from 1991 to 1994. He was elected to the  in the  as a candidate of the Nepali Congress becoming the Minister of Health in the subsequent government.
In May 2007 Yadav's residence in  was attacked by militants of the  (JTMM). The JTMM put up a seizure notice at the house hoisted their flags at it and detonated a bomb. Yadav contested the  constituency in the  and won the seat obtaining 10392 votes.
Yadav  as the first  in a second round of voting on 21 July 2008. He received 308 out of the 590 votes cast in the  defeating  who had been nominated by the  in a second round of voting. Yadav was sworn in as president on 23 July 2008.  Kedar Prasad Giri administered the  to Yadav at Shital Niwas . Yadav also administered oath to Vice-president .
Yadav began his political career while studying medicine in  India. He came in contact with several  who had self-exiled themselves in  such as     and Saroj Koirala. Inspired by these leaders Yadav started engaging himself in politics actively. He championed the cause for multi-party democracy during the referendum held in 1980. While practicing as a physician for several years in Janakpur. He engaged himself in politics as an active cadre of the  Party. He was a rural private practitioner for several years as well as a personal physician to Koirala the first elected Prime Minister of Nepal from 1980 to 1982.
Yadav was imprisoned for some time until restoration of multiparty democratic dispensation in Nepal in 1990. Thereafter  he was elected twice as a Member of the House of Representatives from the Constituency No. 5 of  of Nepal. He was the Minister of State for Health from 1991 to 1994. He again took charge of the Ministry of Health as the Cabinet Minister from 1999 to 2001. Yadav was elected as a Member of the Constituent Assembly from the same constituency of Dhanusa District during the elections held on 10 April 2008.
Yadav discharged various responsibilities in the Nepali Congress Party. He was a member of the Central Working Committee for 15 years and also a member of Parliamentary Board and a member of the Discipline Committee of the Party. Before being elected as president he was General Secretary of the  Party.
He visited India in 2010 and went to  and Chandigarh where he had received his medical degree. On March 26 2015 he departed for an official visit to China at the invitation of the Chinese government.
Ram Baran has received several accolades and honours:"
Omprakash Yadav,https://en.wikipedia.org/wiki/Omprakash_Yadav,Omprakash Yadav (: ) is a  politician belonging to the . In the  he was elected from the -6 constituency winning 12170 votes.
Ram Ayodhya Prasad Yadav,https://en.wikipedia.org/wiki/Ram_Ayodhya_Prasad_Yadav,Ram Ayodhya Prasad Yadav (: ) is a member of . He won Bara–1 seat in CA assembly 2013 from .
Radhe Chandra Yadav,https://en.wikipedia.org/wiki/Radhe_Chandra_Yadav,"Radhe Chandra Yadav
 (: ) is a member of . He won Bara–2 seat in CA assembly 2013 from ."
Dinesh Chandra Yadav (Nepali politician),https://en.wikipedia.org/wiki/Dinesh_Chandra_Yadav_(Nepal),"Dinesh Chandra Yadav (Nepali politician) (: ) (died 14 January 2021) was a member of .
He won Banke–2 seat in  from .
He tested positive for  during the  on 27 December 2020 and died while undergoing treatment for the disease on January 14 2021."
Chitra Lekha Yadav,https://en.wikipedia.org/wiki/Chitra_Lekha_Yadav,"Chitra Lekha Yadav a member of  assumed the post of the 
on 25 February 2014 under -led government.
Chitra Lekha Yadav was elected to the  in the  on behalf of the . Yadav became its deputy chairman. Nepali Congress divided vertically to two parties one led by former Prime Minister   and the other is led by Girija Prasad Koirala. After vertical split of the party she supported  (which later reunified with NC).
Yadav is the NC candidate in the Siraha-2 constituency for the ."
Kul Prasad Uprety,https://en.wikipedia.org/wiki/Kul_Prasad_Uprety,"Kul Prasad Uprety is a  politician. Uprety contested the  as a  candidate in the Taplejung-1 seat. He won the election defeating  candidate  with 12703 votes (47.19%). In the 1994 election he was substituted by  as the CPN(UML) candidate in the constituency.
When CPN(UML) was divided Uprety joined the dissident . He contested the  as the CPN(ML) candidate in Taplejung-1 obtaining 1289 votes. The election was won by CPN(UML) candidate ."
Amod Prasad Upadhyay,https://en.wikipedia.org/wiki/Amod_Prasad_Upadhyay,"Amod Prasad Upadhyay (: ; born March 29 1936) is a Nepalese social worker and politician.
Upadhyay was born in  to Janak Prasad Upadhyay and Chandrakumari Upadhyay.  He studied at Adarsha Vidyala in Biratnagar and completed his higher secondary education from  India. He holds a Bachelor of Arts in Political Science from .
Upadhyay joined politics in 1956 as a  activist.  An active member of the outlawed political opposition from 1960 to 1990 he  was arrested and imprisoned several times by the  regime for his pro-democracy activities. He spent a total of 16 months under arrest.
He participated in the  and served in the  from 1991 to 1995 as a nominated member. He contested and won the 1999 by-elections for the  from the -1 seat vacated by . Upadhyay was Nepal's Minister for Education and Sports from March 2000 to May 2002 in the cabinets of  and .
Upadhyay protested the royal takeover of Feb 1 2005 and was held in detention for several weeks by the government of  citing the Public Security Act (PSA). Following the  and the reinstatement of the  he served as the Chief Whip of the Nepali Congress Parliamentary Party in the reinstated house and the .  In May 2008 he was elected to the  from -1 and was a member of the Judicial System and Security Special committees.
The  in 2010 elected Upadhyay  to the party's Central Working Committee (CWC)  from . He was picked by the CWC to head the Disciplinary Committee of the party on August 15 2012.
Upadhyay was the  candidate for the  from the -1 constituency  losing to Rishikesh Pokhrel of the .
 
 

Upadhyay was the only Nepali Congress candidate elected from the nine seats contested by the party in Morang district in this election.
 73187  49172 (67.19%)  45697
 
 54722 44191 (80.76%)   40975"
Damber Dhoj Tumbahamphe,https://en.wikipedia.org/wiki/Damber_Dhoj_Tumbahamphe,Damber Dhoj Tumbahamphe (: ) is a  politician belonging to the . In the  he was elected from the -2 constituency winning 8628 votes.
Dip Kumar Upadhaya,https://en.wikipedia.org/wiki/Dip_Kumar_Upadhaya_(Lamichhane),Dip Kumar Upadhaya (: ) is a leader of  and former Minister for Culture Tourism and Civil Aviation. he is former ambassador of Nepal for India. He resigned from the post and returned to compete in election of  but was defeated by Chakrapani Khanal 'Baldev' From Kaplivastu. Nepal as t In the  he was elected from the -1 constituency winning 12997 votes.
Puran Rana Tharu,https://en.wikipedia.org/wiki/Puran_Rana_Tharu,"Puran Rana Tharu (: ) is a  politician belonging to the . In the  he was elected from the -1 constituency winning 14765 votes.
In the  Tharu was fielded as the 181st candidate on the proportional representation list of the ."
Sant Kumar Tharu,https://en.wikipedia.org/wiki/Sant_Kumar_Tharu,"Sant Kumar Tharu (: ) is a Nepalese  belonging to the Communist Party of Nepal.
In the  he was elected from the -3 constituency winning 23663 votes. He won the Bardiya–3 seat in  from the ."
Sant Kumar Tharu,https://en.wikipedia.org/wiki/Santa_Kumar_Tharu,"Sant Kumar Tharu (: ) is a Nepalese  belonging to the Communist Party of Nepal.
In the  he was elected from the -3 constituency winning 23663 votes. He won the Bardiya–3 seat in  from the ."
Mangal Prasad Tharu,https://en.wikipedia.org/wiki/Mangal_Prasad_Tharu,"Mangal Prasad Tharu (: ) is a  politician. He was elected to the  in the  on behalf of the .
In the  Tharu ran for the  of the  but was defeated by  candidate ."
Ram Chandra Tiwari,https://en.wikipedia.org/wiki/Ram_Chandra_Tiwari,Ram Chandra Tiwari is a  politician. He was elected to the  in the  on behalf of the .
Hridayesh Tripathi,https://en.wikipedia.org/wiki/Hridayesh_Tripathi,"Hridayesh Tripathi (: ) is a Nepalese politician belonging to the  . He's also the current chairman of the party.
A former  Tripathi has worked several terms as minister under the government of  and .
Tripathi was born in  to Harishankar Triphati and Kunti Devi. He completed his secondary education in  and studied  at the  in the .
He started his political career in . He contested the  but failed to get elected. After the   was removed and democracy was re-established in Nepal by the  Triphathi joined the . He was elected to the  from Nawalparasi 3 in the  and retained his seat in the  and .

In the wake of the  in 2007 Tripathi resigned from the government of Girija Prasad Koirala and formed the  with . He was elected to the  at the  from Nawalparasi 6 but failed to retain his seat at the . In 2017 he quit the  and formed the  that contested the  under the election symbol of . He was elected to the  from  and was a member of the  parliamentary party. 
On 14 December 2021 he announced the formation of . He emphasized the need of a party concentrated towards  ideological debate and addressing the demands of  and  region which were not included in constitution.
Tripathi is married to Shobha Tripathi with whom he has two daughters and a son."
Indrajit Tharu,https://en.wikipedia.org/wiki/Indrajit_Tharu,Indrajit Tharu (: ) is a  politician belonging to the . In January 2007 he was nominated to the  on behalf of the CPN(Maoist). In April 2008 he won the -1 seat in the  defeating veteran  politician . Tharu got 18903 votes.
Bishnu Prasad Chaudhari Tharu,https://en.wikipedia.org/wiki/Bishnu_Prasad_Chaudhari_Tharu,Bishnu Prasad Chaudhari Tharu (: ) is a  politician belonging to the . In the  he was elected from the -2 constituency winning 17851 votes.
Karna Bahadur Thapa,https://en.wikipedia.org/wiki/Karna_Bahadur_Thapa,"Karna Bahadur Thapa (: ) a member of  assumed the post of the  on 25 February 2014 under -led government.
He is a member of . He won Bajura–1 seat in the CA assembly in 2013. He is the chairman of  Sudurpaschim Pradesh Committee."
Chandra Bahadur Thapa,https://en.wikipedia.org/wiki/Chandra_Bahadur_Thapa,"Chandra Bahadur Thapa(: ) a.k.a. 'Sagar' was a  politician belonging to the then . Thapa was the  in-charge of the . During the  he was the commander of the Dinesh-Ramji Smriti Brigade of the . In the  he was elected from the -3 constituency winning 16581 votes. Then he left  and joined   based socio-academic movement called ""Aarthik Krantiko Abhiyan"". The movement which was led by  the then  student who is now known as one of the  ."
